,省名,经度范围,纬度范围,lonMin,lonMax,latMin,latMax,cmd
0,安徽省,114.878463~119.645188,29.395191~34.65234,114.878463,119.645188,29.395191,34.65234,eio clip -o 安徽省-30m-DEM.tif --bounds 114.878463 29.395191 119.645188 34.65234
1,澳门特别行政区,113.528164~113.598861,22.109142~22.217034,113.528164,113.598861,22.109142,22.217034,eio clip -o 澳门特别行政区-30m-DEM.tif --bounds 113.528164 22.109142 113.598861 22.217034
2,北京市,115.416827~117.508251,39.442078~41.058964,115.416827,117.508251,39.442078,41.058964,eio clip -o 北京市-30m-DEM.tif --bounds 115.416827 39.442078 117.508251 41.058964
3,福建省,115.84634~120.722095,23.500683~28.317231,115.84634,120.722095,23.500683,28.317231,eio clip -o 福建省-30m-DEM.tif --bounds 115.84634 23.500683 120.722095 28.317231
4,甘肃省,92.337827~108.709007,32.596328~42.794532,92.337827,108.709007,32.596328,42.794532,eio clip -o 甘肃省-30m-DEM.tif --bounds 92.337827 32.596328 108.709007 42.794532
5,广东省,109.664816~117.303484,20.223273~25.519951,109.664816,117.303484,20.223273,25.519951,eio clip -o 广东省-30m-DEM.tif --bounds 109.664816 20.223273 117.303484 25.519951
6,广西壮族自治区,104.446538~112.05675,20.902306~26.388528,104.446538,112.05675,20.902306,26.388528,eio clip -o 广西壮族自治区-30m-DEM.tif --bounds 104.446538 20.902306 112.05675 26.388528
7,贵州省,103.599417~109.556069,24.620914~29.224344,103.599417,109.556069,24.620914,29.224344,eio clip -o 贵州省-30m-DEM.tif --bounds 103.599417 24.620914 109.556069 29.224344
8,海南省,108.614575~117.842823,8.30204~20.16146,108.614575,117.842823,8.30204,20.16146,eio clip -o 海南省-30m-DEM.tif --bounds 108.614575 8.30204 117.842823 20.16146
9,河北省,113.454863~119.84879,36.048718~42.615453,113.454863,119.84879,36.048718,42.615453,eio clip -o 河北省-30m-DEM.tif --bounds 113.454863 36.048718 119.84879 42.615453
10,河南省,110.35571~116.644831,31.3844~36.366508,110.35571,116.644831,31.3844,36.366508,eio clip -o 河南省-30m-DEM.tif --bounds 110.35571 31.3844 116.644831 36.366508
11,黑龙江省,121.183134~135.088511,43.422993~53.560901,121.183134,135.088511,43.422993,53.560901,eio clip -o 黑龙江省-30m-DEM.tif --bounds 121.183134 43.422993 135.088511 53.560901
12,湖北省,108.362545~116.132865,29.032769~33.272876,108.362545,116.132865,29.032769,33.272876,eio clip -o 湖北省-30m-DEM.tif --bounds 108.362545 29.032769 116.132865 33.272876
13,湖南省,108.786106~114.256514,24.643089~30.1287,108.786106,114.256514,24.643089,30.1287,eio clip -o 湖南省-30m-DEM.tif --bounds 108.786106 24.643089 114.256514 30.1287
14,吉林省,121.638964~131.309886,40.864207~46.302152,121.638964,131.309886,40.864207,46.302152,eio clip -o 吉林省-30m-DEM.tif --bounds 121.638964 40.864207 131.309886 46.302152
15,江苏省,116.355183~121.927472,30.76028~35.127197,116.355183,121.927472,30.76028,35.127197,eio clip -o 江苏省-30m-DEM.tif --bounds 116.355183 30.76028 121.927472 35.127197
16,江西省,89.551219~124.57284,8.972204~40.256391,89.551219,124.57284,8.972204,40.256391,eio clip -o 江西省-30m-DEM.tif --bounds 89.551219 8.972204 124.57284 40.256391
17,辽宁省,118.839668~125.785614,38.72154~43.488548,118.839668,125.785614,38.72154,43.488548,eio clip -o 辽宁省-30m-DEM.tif --bounds 118.839668 38.72154 125.785614 43.488548
18,内蒙古自治区,97.17172~126.065581,37.406647~53.333779,97.17172,126.065581,37.406647,53.333779,eio clip -o 内蒙古自治区-30m-DEM.tif --bounds 97.17172 37.406647 126.065581 53.333779
19,宁夏回族自治区,104.284332~107.661713,35.238497~39.387783,104.284332,107.661713,35.238497,39.387783,eio clip -o 宁夏回族自治区-30m-DEM.tif --bounds 104.284332 35.238497 107.661713 39.387783
20,青海省,89.401764~103.068897,31.600668~39.212599,89.401764,103.068897,31.600668,39.212599,eio clip -o 青海省-30m-DEM.tif --bounds 89.401764 31.600668 103.068897 39.212599
21,山东省,114.810126~122.705605,34.377357~38.399928,114.810126,122.705605,34.377357,38.399928,eio clip -o 山东省-30m-DEM.tif --bounds 114.810126 34.377357 122.705605 38.399928
22,山西省,110.230241~114.56294,34.583784~40.744953,110.230241,114.56294,34.583784,40.744953,eio clip -o 山西省-30m-DEM.tif --bounds 110.230241 34.583784 114.56294 40.744953
23,陕西省,105.488313~111.241907,31.706862~39.582532,105.488313,111.241907,31.706862,39.582532,eio clip -o 陕西省-30m-DEM.tif --bounds 105.488313 31.706862 111.241907 39.582532
24,上海市,120.852326~122.118227,30.691701~31.874634,120.852326,122.118227,30.691701,31.874634,eio clip -o 上海市-30m-DEM.tif --bounds 120.852326 30.691701 122.118227 31.874634
25,四川省,97.347493~108.54257,26.048207~34.315239,97.347493,108.54257,26.048207,34.315239,eio clip -o 四川省-30m-DEM.tif --bounds 97.347493 26.048207 108.54257 34.315239
26,台湾省,119.314417~123.701571,21.896939~25.938831,119.314417,123.701571,21.896939,25.938831,eio clip -o 台湾省-30m-DEM.tif --bounds 119.314417 21.896939 123.701571 25.938831
27,天津市,116.702073~118.059209,38.554824~40.251765,116.702073,118.059209,38.554824,40.251765,eio clip -o 天津市-30m-DEM.tif --bounds 116.702073 38.554824 118.059209 40.251765
28,西藏自治区,78.386053~99.115351,26.853453~36.484529,78.386053,99.115351,26.853453,36.484529,eio clip -o 西藏自治区-30m-DEM.tif --bounds 78.386053 26.853453 99.115351 36.484529
29,香港特别行政区,113.815684~114.499703,22.134935~22.566546,113.815684,114.499703,22.134935,22.566546,eio clip -o 香港特别行政区-30m-DEM.tif --bounds 113.815684 22.134935 114.499703 22.566546
30,新疆维吾尔自治区,73.501142~96.384783,34.336146~49.183097,73.501142,96.384783,34.336146,49.183097,eio clip -o 新疆维吾尔自治区-30m-DEM.tif --bounds 73.501142 34.336146 96.384783 49.183097
31,云南省,97.527278~106.196958,21.142312~29.225286,97.527278,106.196958,21.142312,29.225286,eio clip -o 云南省-30m-DEM.tif --bounds 97.527278 21.142312 106.196958 29.225286
32,浙江省,118.022574~122.834203,26.643625~31.182556,118.022574,122.834203,26.643625,31.182556,eio clip -o 浙江省-30m-DEM.tif --bounds 118.022574 26.643625 122.834203 31.182556
33,重庆市,105.289838~110.195637,28.164706~32.204171,105.289838,110.195637,28.164706,32.204171,eio clip -o 重庆市-30m-DEM.tif --bounds 105.289838 28.164706 110.195637 32.204171
